,Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Prime Mover,Status,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Unit Code,Operating Month,Operating Year,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Multiple Fuels,Deliver Power to Transmission Grid,Synchronized to Transmission Grid,Ownership,Turbines,Cogenerator,Sector Name,Sector,Topping or Bottoming,Duct Burners,Planned Modifications,Planned Uprates Net Summer Capacity,Planned Uprates Net Winter Capacity,Planned Uprate Month,Planned Uprate Year,Planned Derates Net Summer Capacity,Planned Derates Net Winter Capacity,Planned Derates Month,Planned Derates Year,Planned New Prime Mover,Planned Energy Source 1,Planned Repower Month,Planned Repower Year,Other Modifications,Other Modifications Month,Other Modifications Year,Planned Retirement Month,Planned Retirement Year,Solid Fuel Gasification System,Pulverized Coal Technology,Fluidized Bed Technology,Subcritical Technology,Supercritical Technology,Ultrasupercritical Technology,Carbon Capture Technology,Startup Source 1,Startup Source 2,Startup Source 3,Startup Source 4,Transmission or Distribution System Owner,Primary Purpose (NAICS Code),Latitude,Longitude
17873,56929,Alliance Star Energy LLC,57592,Sheraton SD East Tower,CA,San Diego,51,FC,OP,0.3,0.3,0.3,,10,2005,NG,,,,,,N,Y,,S,,Y,Commercial CHP,5,T,,Y,,,,,,,,,,,,,N,,,11.0,2017.0,N,,,,,,,,,,,San Diego Gas & Electric Co,721,32.7283,-117.1978
17899,56968,Oregon State University,57653,Oregon State University Energy Center,OR,Benton,CTG,CT,OP,5.5,5.2,5.5,,6,2010,NG,DFO,,,,,Y,Y,,S,,Y,Commercial CHP,5,T,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,PacifiCorp,611,44.564333000000005,-123.28908899999999
17900,56968,Oregon State University,57653,Oregon State University Energy Center,OR,Benton,STG,CA,OP,1.0,0.5,1.0,,6,2010,NG,DFO,,,,,N,N,,S,,Y,Commercial CHP,5,T,Y,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,PacifiCorp,611,44.564333000000005,-123.28908899999999
17935,56991,Astoria Energy II LLC,57664,Astoria Energy II,NY,Queens,CT3,CT,OP,200.0,156.0,188.0,,7,2011,NG,DFO,,,,,Y,Y,,S,,N,IPP Non-CHP,2,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Consolidated Edison Co-NY Inc,22,40.781321000000005,-73.896618
17936,56991,Astoria Energy II LLC,57664,Astoria Energy II,NY,Queens,CT4,CT,OP,200.0,156.0,188.0,,7,2011,NG,DFO,,,,,Y,Y,,S,,N,IPP Non-CHP,2,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Consolidated Edison Co-NY Inc,22,40.781321000000005,-73.896618
17937,56991,Astoria Energy II LLC,57664,Astoria Energy II,NY,Queens,ST2,CA,OP,250.0,228.0,236.0,,7,2011,NG,DFO,,,,,Y,Y,,S,,N,IPP Non-CHP,2,,Y,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Consolidated Edison Co-NY Inc,22,40.781321000000005,-73.896618
17938,56992,Foxwoods Resort Casino,57666,Foxwoods CoGen,CT,New London,CT1,GT,OP,6.6,6.0,7.3,1,6,2010,NG,,,,,,N,N,,S,,Y,Commercial CHP,5,B,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Connecticut Light & Power Co,713,41.4731,-71.9606
17939,56992,Foxwoods Resort Casino,57666,Foxwoods CoGen,CT,New London,CT2,GT,OP,6.6,6.0,7.3,2,6,2010,NG,,,,,,N,N,,S,,Y,Commercial CHP,5,B,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Connecticut Light & Power Co,713,41.4731,-71.9606
18004,57032,UTAS Aerostructures,57713,UTAS Cogeneration Plant,CA,San Diego,151,IC,OP,3.2,3.2,3.2,,4,2002,NG,DFO,,,,,Y,N,,S,,Y,Industrial CHP,7,T,,N,,,,,,,,,,,,,N,,,,,N,,,,,,,,,,,UTAS Aerostructures,336,32.6325,-117.0997
18005,57032,UTAS Aerostructures,57713,UTAS Cogeneration Plant,CA,San Diego,152,IC,OP,3.2,3.2,3.2,,4,2002,NG,DFO,,,,,Y,N,,S,,Y,Industrial CHP,7,T,,N,,,,,,,,,,,,,N,,,,,N,,,,,,,,,,,UTAS Aerostructures,336,32.6325,-117.0997
18006,57032,UTAS Aerostructures,57713,UTAS Cogeneration Plant,CA,San Diego,153,IC,OP,3.2,3.2,3.2,,4,2002,NG,DFO,,,,,Y,N,,S,,Y,Industrial CHP,7,T,,N,,,,,,,,,,,,,N,,,,,N,,,,,,,,,,,UTAS Aerostructures,336,32.6325,-117.0997
18007,57033,City of Palo Alto,57714,City of Palo Alto,CA,Santa Clara,GEN1,IC,SB,1.1,1.1,1.1,,3,2002,NG,,,,,,N,Y,Y,S,,N,Electric Utility,1,,,N,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,City of Palo Alto,22,37.4383,-122.1094
18008,57033,City of Palo Alto,57714,City of Palo Alto,CA,Santa Clara,GEN2,IC,SB,1.1,1.1,1.1,,3,2002,NG,,,,,,N,Y,Y,S,,N,Electric Utility,1,,,N,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,City of Palo Alto,22,37.4383,-122.1094
18009,57033,City of Palo Alto,57714,City of Palo Alto,CA,Santa Clara,GEN3,IC,SB,1.1,1.1,1.1,,3,2002,NG,,,,,,N,Y,Y,S,,N,Electric Utility,1,,,N,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,City of Palo Alto,22,37.4383,-122.1094
18010,57033,City of Palo Alto,57714,City of Palo Alto,CA,Santa Clara,GEN4,IC,SB,1.1,1.1,1.1,,3,2002,NG,,,,,,N,Y,Y,S,,N,Electric Utility,1,,,N,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,City of Palo Alto,22,37.4383,-122.1094
18011,57034,Watkins Manufacturing Corporation,57715,Watkins Manufacturing Co.,CA,San Diego,GEN1,IC,OP,1.0,1.0,1.0,,11,2001,NG,,,,,,N,N,,S,,N,Industrial Non-CHP,6,,,N,,,,,,,,,,,,,N,,,,,N,,,,,,,,,,,San Diego Gas & Electric Co,339,32.8333,-117.0833
