,Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Prime Mover,Status,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Unit Code,Operating Month,Operating Year,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Multiple Fuels,Deliver Power to Transmission Grid,Synchronized to Transmission Grid,Ownership,Turbines,Cogenerator,Sector Name,Sector,Topping or Bottoming,Duct Burners,Planned Modifications,Planned Uprates Net Summer Capacity,Planned Uprates Net Winter Capacity,Planned Uprate Month,Planned Uprate Year,Planned Derates Net Summer Capacity,Planned Derates Net Winter Capacity,Planned Derates Month,Planned Derates Year,Planned New Prime Mover,Planned Energy Source 1,Planned Repower Month,Planned Repower Year,Other Modifications,Other Modifications Month,Other Modifications Year,Planned Retirement Month,Planned Retirement Year,Solid Fuel Gasification System,Pulverized Coal Technology,Fluidized Bed Technology,Subcritical Technology,Supercritical Technology,Ultrasupercritical Technology,Carbon Capture Technology,Startup Source 1,Startup Source 2,Startup Source 3,Startup Source 4,Transmission or Distribution System Owner,Primary Purpose (NAICS Code),Latitude,Longitude
13026,20860,Wisconsin Public Service Corp,4072,Pulliam,WI,Brown,7,ST,OP,81.6,81.6,83.1,,11,1958,SUB,NG,,,,,Y,Y,,S,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,N,Y,,Y,,,,NG,,,,American Transmission Co,22,44.54,-88.0086
13027,20860,Wisconsin Public Service Corp,4072,Pulliam,WI,Brown,8,ST,OP,149.6,131.7,132.4,,12,1964,SUB,NG,,,,,Y,Y,,S,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,N,Y,,Y,,,,NG,,,,American Transmission Co,22,44.54,-88.0086
13038,20860,Wisconsin Public Service Corp,4078,Weston,WI,Marathon,1,ST,OP,60.0,56.4,57.1,,12,1954,SUB,NG,,,,,Y,Y,,S,,N,Electric Utility,1,,,N,,,,,,,,,,,,,,,,,,N,Y,,Y,,,,NG,DFO,,,American Transmission Co,22,44.8606,-89.6553
13039,20860,Wisconsin Public Service Corp,4078,Weston,WI,Marathon,2,ST,OP,81.6,82.9,84.6,,9,1960,SUB,NG,,,,,Y,Y,,S,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,N,Y,,Y,,,,NG,DFO,,,American Transmission Co,22,44.8606,-89.6553
13040,20860,Wisconsin Public Service Corp,4078,Weston,WI,Marathon,3,ST,OP,350.5,322.7,325.0,,12,1981,SUB,NG,,,,,Y,Y,,S,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,N,Y,,Y,,,,NG,DFO,,,American Transmission Co,22,44.8606,-89.6553
13043,20860,Wisconsin Public Service Corp,4078,Weston,WI,Marathon,4,ST,OP,595.0,542.3,546.4,,7,2008,SUB,NG,,,,,Y,Y,,J,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,N,Y,,,Y,,,NG,,,,American Transmission Co,22,44.8606,-89.6553
13301,22199,U S Air Force-Eielson AFB,50392,Eielson AFB Central Heat & Power Plant,AK,Fairbanks North Star,TG1,ST,OP,2.5,0.5,2.2,,10,1952,SUB,,,,,,N,Y,,S,,Y,Commercial CHP,5,T,N,N,,,,,,,,,,,,,,,,,,N,,,Y,,,Y,,,,,Golden Valley Elec Assn Inc,928,64.67141,-147.075988
13302,22199,U S Air Force-Eielson AFB,50392,Eielson AFB Central Heat & Power Plant,AK,Fairbanks North Star,TG2,ST,OP,2.5,0.5,2.2,,10,1952,SUB,,,,,,N,Y,,S,,Y,Commercial CHP,5,T,N,N,,,,,,,,,,,,,,,,,,N,,,Y,,,Y,,,,,Golden Valley Elec Assn Inc,928,64.67141,-147.075988
13303,22199,U S Air Force-Eielson AFB,50392,Eielson AFB Central Heat & Power Plant,AK,Fairbanks North Star,TG3,ST,OP,5.0,5.0,5.0,,8,1955,SUB,,,,,,N,Y,,S,,Y,Commercial CHP,5,T,N,N,,,,,,,,,,,,,,,,,,N,N,,Y,,,Y,,,,,Golden Valley Elec Assn Inc,928,64.67141,-147.075988
13304,22199,U S Air Force-Eielson AFB,50392,Eielson AFB Central Heat & Power Plant,AK,Fairbanks North Star,TG4,ST,OP,5.0,5.0,5.0,,6,1969,SUB,,,,,,N,Y,,S,,Y,Commercial CHP,5,T,N,N,,,,,,,,,,,,,,,,,,N,N,,Y,,,Y,,,,,Golden Valley Elec Assn Inc,928,64.67141,-147.075988
