,Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Prime Mover,Status,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Unit Code,Operating Month,Operating Year,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Multiple Fuels,Deliver Power to Transmission Grid,Synchronized to Transmission Grid,Ownership,Turbines,Cogenerator,Sector Name,Sector,Topping or Bottoming,Duct Burners,Planned Modifications,Planned Uprates Net Summer Capacity,Planned Uprates Net Winter Capacity,Planned Uprate Month,Planned Uprate Year,Planned Derates Net Summer Capacity,Planned Derates Net Winter Capacity,Planned Derates Month,Planned Derates Year,Planned New Prime Mover,Planned Energy Source 1,Planned Repower Month,Planned Repower Year,Other Modifications,Other Modifications Month,Other Modifications Year,Planned Retirement Month,Planned Retirement Year,Solid Fuel Gasification System,Pulverized Coal Technology,Fluidized Bed Technology,Subcritical Technology,Supercritical Technology,Ultrasupercritical Technology,Carbon Capture Technology,Startup Source 1,Startup Source 2,Startup Source 3,Startup Source 4,Transmission or Distribution System Owner,Primary Purpose (NAICS Code),Latitude,Longitude
10479,17539,South Carolina Electric&Gas Co,6127,V C Summer,SC,Fairfield,1,ST,OP,"1,029.6",971.0,992.0,,1,1984,NUC,,,,,,N,Y,,J,,N,Electric Utility,1,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,South Carolina Electric & Gas Co,22,34.2983,-81.3153
10686,17609,Southern California Edison Co,360,San Onofre Nuclear Generating Station,CA,San Diego,2,ST,OP,"1,127.0","1,070.0","1,070.0",,8,1983,NUC,,,,,,N,Y,,J,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,N,,,6.0,2013.0,N,,,,,,,,,,,Southern California Edison Co,22,33.368794,-117.55491599999999
10687,17609,Southern California Edison Co,360,San Onofre Nuclear Generating Station,CA,San Diego,3,ST,OP,"1,127.0","1,080.0","1,080.0",,4,1984,NUC,,,,,,N,Y,,J,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,6.0,2013.0,N,,,,,,,,,,,Southern California Edison Co,22,33.368794,-117.55491599999999
11299,18642,Tennessee Valley Authority,46,Browns Ferry,AL,Limestone,1,ST,OP,"1,152.0","1,100.8","1,131.7",,8,1974,NUC,,,,,,N,Y,,S,,N,Electric Utility,1,,,N,,,,,,,,,,,,,N,,,,,N,,,,,,,,,,,Tennessee Valley Authority,22,34.7042,-87.1189
11300,18642,Tennessee Valley Authority,46,Browns Ferry,AL,Limestone,2,ST,OP,"1,152.0","1,103.7","1,135.2",,3,1975,NUC,,,,,,N,Y,,S,,N,Electric Utility,1,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Tennessee Valley Authority,22,34.7042,-87.1189
11301,18642,Tennessee Valley Authority,46,Browns Ferry,AL,Limestone,3,ST,OP,"1,190.0","1,104.9","1,134.2",,3,1977,NUC,,,,,,N,Y,,S,,N,Electric Utility,1,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Tennessee Valley Authority,22,34.7042,-87.1189
11516,18642,Tennessee Valley Authority,6152,Sequoyah,TN,Hamilton,1,ST,OP,"1,220.5","1,152.0","1,177.4",,7,1981,NUC,,,,,,N,Y,,S,,N,Electric Utility,1,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tennessee Valley Authority,22,35.2267,-85.0917
11517,18642,Tennessee Valley Authority,6152,Sequoyah,TN,Hamilton,2,ST,OP,"1,220.5","1,125.7","1,155.1",,6,1982,NUC,,,,,,N,Y,,S,,N,Electric Utility,1,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tennessee Valley Authority,22,35.2267,-85.0917
11544,18642,Tennessee Valley Authority,7722,Watts Bar Nuclear Plant,TN,Rhea,1,ST,OP,"1,269.9","1,123.0","1,179.0",,5,1996,NUC,,,,,,N,Y,,S,,N,Electric Utility,1,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Tennessee Valley Authority,22,35.6021,-84.7895
12063,19436,Union Electric Co - (MO),6153,Callaway,MO,Callaway,1,ST,OP,"1,235.8","1,190.0","1,240.0",,12,1984,NUC,,,,,,N,Y,,S,,N,Electric Utility,1,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Union Electric Co,22,38.758919,-91.778841
12505,19876,Virginia Electric & Power Co,3806,Surry,VA,Surry,1,ST,OP,847.5,838.0,875.0,,12,1972,NUC,,,,,,N,Y,,S,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,N,,,,,N,,,,,,,,,,,Virginia Electric & Power Co,22,37.1661,-76.6986
12506,19876,Virginia Electric & Power Co,3806,Surry,VA,Surry,2,ST,OP,847.5,838.0,875.0,,5,1973,NUC,,,,,,N,Y,,S,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,N,,,,,N,,,,,,,,,,,Virginia Electric & Power Co,22,37.1661,-76.6986
12520,19876,Virginia Electric & Power Co,6168,North Anna,VA,Louisa,1,ST,OP,979.7,943.0,975.0,,6,1978,NUC,,,,,,N,Y,,J,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,Virginia Electric & Power Co,22,38.06,-77.7897
12521,19876,Virginia Electric & Power Co,6168,North Anna,VA,Louisa,2,ST,OP,979.7,943.0,975.0,,12,1980,NUC,,,,,,N,Y,,J,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,Virginia Electric & Power Co,22,38.06,-77.7897
12614,20160,Energy Northwest,371,Columbia Generating Station,WA,Benton,2,ST,OP,"1,200.0","1,132.0","1,144.0",,12,1984,NUC,,,,,,N,Y,,S,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Bonneville Power Admin,22,46.4711,-119.3339
13061,20893,Wolf Creek Nuclear Optg Corp,210,Wolf Creek Generating Station,KS,Coffey,1,ST,OP,"1,267.7","1,175.0","1,205.0",,9,1985,NUC,,,,,,N,Y,,J,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kansas Gas & Electric Co,22,38.239259999999994,-95.68978
13197,21535,STP Nuclear Operating Co,6251,South Texas Project,TX,Matagorda,1,ST,OP,"1,354.3","1,280.0","1,280.0",,8,1988,NUC,,,,,,N,Y,,J,,N,IPP Non-CHP,2,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Austin Energy,22,28.795,-96.0481
13198,21535,STP Nuclear Operating Co,6251,South Texas Project,TX,Matagorda,2,ST,OP,"1,354.3","1,280.0","1,280.0",,6,1989,NUC,,,,,,N,Y,,J,,N,IPP Non-CHP,2,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Austin Energy,22,28.795,-96.0481
13779,29926,Entergy Nuclear Generation Co,1590,Pilgrim Nuclear Power Station,MA,Plymouth,1,ST,OP,670.0,677.3,683.4,,12,1972,NUC,,,,,,N,Y,,S,,N,IPP Non-CHP,2,,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Boston Edison Co,22,41.9438,-70.578
14786,50100,"R.E. Ginna Nuclear Power Plant, LLC",6122,R E Ginna Nuclear Power Plant,NY,Wayne,1,ST,OP,614.0,580.8,582.1,,7,1970,NUC,,,,,,N,Y,,S,,N,IPP Non-CHP,2,,,Y,,,,,,,,,,,,,N,,,,,N,,,,,,,,,,,Rochester Gas & Electric Corporation,22,43.2777,-77.3099
14889,50161,FirstEnergy Nuclear Operating Company,6020,Perry,OH,Lake,1,ST,OP,"1,311.6","1,240.0","1,268.0",,11,1987,NUC,,,,,,N,Y,,W,,N,IPP Non-CHP,2,,N,Y,16.0,16.0,5.0,2013.0,,,,,,,,,N,,,,,N,,,,,,,,,,,Cleveland Electric Illum Co,22,41.8006,-81.1439
14890,50161,FirstEnergy Nuclear Operating Company,6040,Beaver Valley,PA,Beaver,1,ST,OP,923.4,892.0,911.0,,9,1976,NUC,,,,,,N,Y,,W,,N,IPP Non-CHP,2,,N,Y,29.0,29.0,12.0,2013.0,,,,,,,,,N,,,,,N,,,,,,,,,,,Duquesne Light Co,22,40.6219,-80.4336
